

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


27/10/2024 10:11:05 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:05 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:05 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:05 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:05 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:05 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:05 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:05 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:05 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:05 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:11:05 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:11:05 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:11:05 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:11:05 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:11:05 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:11:05 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:11:05 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:11:05 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:11:05 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:11:05 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:11:05 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:11:06 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:06 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:11:06 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:06 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:06 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:06 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:06 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:06 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:06 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:06 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:06 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:06 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:07 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:11:07 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:11:07 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:11:07 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:11:07 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:11:07 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:11:07 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:11:07 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:11:07 ||| RECEIVER-2   ||  BIT RECEIVED : 1
